,OMIMID,OMOPID
1225,114480,81251
1226,114480,133711
1227,114480,4092513
1228,114480,81251
1229,157950,433229
1230,157950,35736213
1231,157950,433229
1232,157950,433229
1233,157950,433229
1234,109350,318800
1235,109350,35708106
1236,109350,44783954
1237,109350,318800
1238,109350,318800
1239,109350,4144111
1240,109350,318800
1241,109350,318800
1242,191800,0
1243,276300,788469
1244,276300,4266973
1245,276300,4180790
1246,276300,4266973
1247,254400,4040380
1248,254400,35104618
1249,254400,4040380
1250,254400,4040380
1251,254400,4040380
1252,254400,4040380
1253,607459,44782474
1254,607459,4274575
1255,607459,4133223
1256,607459,4059379
1257,107320,4098292
1258,107320,4098292
1259,107320,4098292
1260,107320,434621
1261,107320,4078700
1262,107320,35104158
1263,107320,40789761
1264,150600,4345598
1265,150600,435636
1266,150600,36570777
1267,150600,4345598
1268,150600,4006963
1269,150600,4345598
1270,150600,4006963
1271,150600,435636
1272,145590,0
1273,157300,4294246
1274,157300,379806
1275,157300,4105365
1276,157300,377844
1277,157300,318736
1278,157300,4318866
1279,157300,318736
1280,157300,318736
1281,157300,45884610
1282,157300,36703480
1283,157300,318736
1284,157300,318736
1285,157300,318736
1286,157300,318736
1287,157300,318736
1288,157300,318736
1289,157300,379806
1290,157300,318736
1291,208230,4109171
1292,208230,135061
1293,208230,4109171
1294,208230,4150456
1295,152700,257628
1296,152700,257628
1297,152700,36009823
1298,152700,45883557
1299,152700,4344158
1300,152700,4063581
1301,152700,257628
1302,152700,257628
1303,152700,257628
1304,152700,257628
1305,152700,257628
1306,125310,4190891
1307,125310,35306077
1308,125310,4286030
1309,125310,4190891
1310,125310,321887
1311,147530,0
1312,140600,80180
1313,140600,72990
1314,140600,80180
1315,140600,4025957
1316,140600,80180
1317,607850,80180
1318,607850,72990
1319,607850,80180
1320,607850,4025957
1321,607850,80180
1322,165720,80180
1323,165720,80180
1324,165720,80180
1325,165720,36516824
1326,165720,45884766
1327,165720,80180
1328,165720,72990
1329,165720,4025957
1330,165720,80180
1331,165720,80180
1332,601367,36774437
1333,601367,4310996
1334,601367,381316
1335,601367,381591
1336,601367,4310996
1337,601367,381591
1338,601367,372924
1339,601367,381316
1340,601367,381591
1341,601367,381591
1342,601367,36718045
1343,601367,381591
1344,601367,36718001
1345,601367,372924
1346,601367,443454
1347,601367,443454
1348,601367,381316
1349,601367,381316
1350,601367,381316
1351,601367,36718005
1352,601367,36210384
1353,601367,381316
1354,601367,381591
1355,601367,381316
1356,601367,381591
1357,601367,443454
1358,601367,381591
1359,601367,381316
1360,601367,381591
1361,151400,4082311
1362,151400,138379
1363,151400,4180093
1364,151400,138379
1365,151400,35104364
1366,151400,4082311
1367,151400,4082311
1368,151400,4180093
1369,151400,4119130
1370,151400,35102408
1371,151400,138379
1372,151400,35124050
1373,151400,4082311
1374,109543,4180093
1375,109543,138379
1376,109543,35124050
1377,109543,4082311
1378,109543,4082311
1379,109543,4119130
1380,109543,35102408
1381,109543,4082311
1382,109543,4082311
1383,109543,138379
1384,109543,138379
1385,109543,35104364
1386,109543,4180093
1387,191390,201618
1388,191390,4272488
1389,191390,4272488
1390,191390,35708038
1391,247640,4030260
1392,247640,134305
1393,247640,4030260
1394,247640,134305
1395,247640,134305
1396,247640,35104339
1397,247640,134305
1398,247640,134305
1399,266600,201606
1400,266600,201606
1401,266600,81893
1402,266600,35737893
1403,266600,45879000
1404,266600,201606
1405,266600,35737908
1406,266600,194684
1407,266600,81893
1408,266600,81893
1409,266600,81893
1410,266600,81893
1411,266600,194684
1412,266600,81893
1413,266600,194684
1414,266600,201606
1415,266600,201606
1416,266600,81893
1417,266600,81893
1418,266600,81893
1419,266600,35708044
1420,179600,314962
1421,179600,37689145
